Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-02-04,Lisez le livre c'est quand même mieux ,,https://boxd.it/DOIS4,"Quand les gens vous disent que le livre est mieux. Écouter les et épargner vous du temps de cerveau.
Mes salutations distinguée"

Position,Name,Year,URL,Description
1,The Hunger Games,2012,https://boxd.it/2uds,
2,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw,
3,The Hunger Games: Mockingjay – Part 1,2014,https://boxd.it/4hka,
4,The Hunger Games: Mockingjay – Part 2,2015,https://boxd.it/4hk0,
5,"Red, White & Royal Blue",2023,https://boxd.it/z3iG,
6,Mortal Engines,2018,https://boxd.it/fahg,
7,The School for Good and Evil,2022,https://boxd.it/tjO2,
8,Percy Jackson & the Olympians: The Lightning Thief,2010,https://boxd.it/1gJi,
9,Percy Jackson: Sea of Monsters,2013,https://boxd.it/2D8m,
10,Troy,2004,https://boxd.it/29TW,
11,Dragonball Evolution,2009,https://boxd.it/1ODy,
