Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-02-05,"Red, White & Royal Blue",2023,https://boxd.it/8JuF3f,1,,,2024-03-06
2025-02-06,The Green Mile,1999,https://boxd.it/8K2Ukj,5,,,2024-05-10
2025-02-06,The House,2022,https://boxd.it/8K2UYt,2,,,2024-05-10
2025-02-06,Rubber,2010,https://boxd.it/8K2WVV,5,,,2024-05-17
2025-02-06,Starship Troopers,1997,https://boxd.it/8K2Keb,2,,,2024-05-18
2025-02-06,Ghost Rider,2007,https://boxd.it/8K2TCL,3,,,2024-05-27
2025-02-06,Ghost Rider: Spirit of Vengeance,2011,https://boxd.it/8K2RkZ,0.5,,,2024-05-29
2025-02-06,Downfall,2004,https://boxd.it/8K2QJT,2,,,2024-06-08
2025-02-06,Lucy,2014,https://boxd.it/8K2Q3D,1.5,,,2024-06-09
2025-02-06,Who Killed Captain Alex?,2010,https://boxd.it/8K2PnH,2,,,2024-06-14
2025-02-06,The Shining,1980,https://boxd.it/8K2OCL,4.5,,,2024-06-15
2025-02-06,Geostorm,2017,https://boxd.it/8K2NlT,1,,,2024-06-25
2025-02-06,Birdemic 2: The Resurrection,2013,https://boxd.it/8K2Msz,0.5,,,2024-06-26
2025-02-04,The Butterfly Effect,2004,https://boxd.it/8IUESz,5,,,2024-07-04
2025-02-06,National Treasure,2004,https://boxd.it/8K2Lzz,1.5,,,2024-07-17
2025-02-06,The Godfather,1972,https://boxd.it/8K32fh,1,,,2024-08-17
2025-02-06,Saving Private Ryan,1998,https://boxd.it/8K32Pz,5,,,2024-08-17
2025-02-06,Ford v Ferrari,2019,https://boxd.it/8K31vD,4.5,,,2024-08-28
2025-02-06,Ace Ventura: Pet Detective,1994,https://boxd.it/8K30L1,0.5,,,2024-10-15
2025-02-04,Everything Everywhere All at Once,2022,https://boxd.it/8IUpgv,5,,,2024-10-18
2025-02-06,The Equalizer,2014,https://boxd.it/8K3039,2.5,,,2024-10-28
2025-02-06,Whiplash,2014,https://boxd.it/8K2Z9l,5,,,2024-11-05
2025-02-06,The Platform,2019,https://boxd.it/8K2YeT,1,,,2024-11-11
2025-02-06,The Fall Guy,2024,https://boxd.it/8K2XFz,2,,,2025-02-03
2025-02-07,No Strings Attached,2011,https://boxd.it/8KE4Jx,1,,,2025-02-06
